Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_Provided,min_salary,max_salary,avg_salary,company_txt,job_state,some_state,age,python_yn,R_yn,Spark
$135K-$170K (Glassdoor est.),"Intuit is seeking a Group Manager - Data Science to join Intuit AI team in San Diego, CA.",4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",0,0,135,170,152.5,"Intuit - Data
", CA,0,37,0,0,0
$144K-$160K (Glassdoor est.),"The world's largest and fastest-growing companies such as Accenture, Adobe, DocuSign and Salesforce rely on Demandbase to drive their Account-Based Marketing strategy and maximize their B2B marketing performance. We pioneered the ABM category nearly a decade ago, and today we lead the category as an indispensable part of the B2B MarTech stack. Our achievements and innovation would not be possible without the driven and collaborative teams here at Demandbase. As a company, we're as committed to growing careers as we are to building word-class technology. We invest heavily in people, our culture and the community around us, and have continuously been recognized as one of the best places to work in the Bay Area.

Demandbase is currently looking for a Staff Data Scientist to develop ground-breaking insights from our data sets and create a completely new way of data-driven thinking in B2B marketing —providing Sales and Marketing users with unique approaches for account-based advertising and web engagement.

As a Staff Data Scientist, you'll be responsible for developing and testing hypotheses on behavioral responses in B2B marketing, creating models that extract data from, among others, website, digital advertising, and CRM solutions into actionable insights, and defining leading edge thinking on how analytical frameworks can be applied to predictive marketing. You'll engage closely with product managers, engineers, customers and others to turn your models into products that delight customers and create ""A-HA"" moments. You will engage with industry peers and experts and showcase your findings (of course while maintaining company and client confidentiality!). You are both hands-on and strategic—with both a broad ecosystem-level understanding of our market space and the ability to work closely with engineering and product teams to deliver software in an iterative, continual-release environment. This is a high-visibility position involving close collaboration across functional groups and with executive stakeholders at customers like the above.

What you'll be doing:
Own: Be the functional owner of the Data Science role
Frame: Use data and insights to explore questions our customers and product team can and should be asking but never asked before.
Define: Work with customers and internal stakeholders to define hypotheses and models, and with engineering teams to define productionalization of data science system
Document: Write clear, concise descriptions of how insights can be converted into repeatable actions.
Build: Write robust machine learning pipelines and data science systems that interface with production infrastructure and APIs
Test: Continually test your models and refine assumptions, data sources and more.
Drive: Work to spread understanding and buy-in among all stakeholders at all levels.
Other duties as assigned
What we're looking for:
2-4 years of data science experience—you have driven more than one greenfield project from concept to production release
Strong quantitative and data analysis abilities (statistics, engineering, or financial academic background preferred)—making data actionable must be your thing!
Good working knowledge of Spark is a must (we use Scala heavily)
Any experience with Google Cloud (especially BQML) and AWS is a huge plus.
Experience defining products & solutions containing large data sets from diverse sources— preferably in sales and/or marketing situations.
Prior experience in the marketing or sales analytics/data science space desired
Knowledge of web site, digital marketing, and CRM technologies and companies a big plus
Other important qualities:
You are perfectly comfortable working in a fast paced, market making environment
You love data and data visualization—you love making data actionable for customers
You are a driver and a doer
You are truly passionate about asking and answering questions – some never asked before
You have a strong sense of ownership for the products you help build
Benefits:

Our benefits include 100% paid for Medical, Dental and Vision for you and your entire family, 100% paid for short-term and long-term disability, 100% paid for life insurance, 401k, flexible vacation

About Demandbase:

Demandbase is the leader in Account-Based Marketing (ABM) and an indispensable part of the B2B tech stack. The company offers the only end-to-end ABM platform that helps B2B marketers identify, engage, close and measure progress against best-fit accounts. The biggest and fastest growing companies in the world, such as Accenture, Adobe, DocuSign, GE, Salesforce and others rely on Demandbase to drive their ABM strategy and maximize their marketing performance. The company has been named to the JMP Securities list ""The Hot 100: The Best Privately Held Software Companies,"" the Deloitte Fast 500 and named a Gartner Cool Vendor for Tech Go-To Market. In 2019, Demandbase executives authored the definitive book on ABM, Account-Based Marketing: How to Target and Engage the Companies That Will Grow Your Revenue. For more information, please visit www.demandbase.com or follow the company on Twitter @Demandbase.",4.5,"Demandbase
4.5","San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus",0,0,144,160,152.0,"Demandbase
", CA,1,14,0,0,1
$64K-$71K (Glassdoor est.),"Sapphire Digital seeks a dynamic and driven mid-level Data Engineer to join our growing New Jersey team who will be responsible for operating and enhancing the performance and functionality of existing data management systems, as well as participating in the design and delivery of new database solutions.
In this position, you'll be responsible for:
Managing data activities such as data requirements gathering, data analysis/modelling, and data issues resolution using standard approved technology
Managing standardization, migration, transformation, validation, and quality assurance of data within multi-database platforms
Leveraging internal and external ETL tools for data processing and publishing Identifies and maintains company databases, including data sources, data structures, data organization, and data optimization
Identifying complex issues proactively and is responsible to see them through resolution, including identifying trends through data analysis and manipulation
Specific client data life-cycles from discovery to implementation to maintenance
Formulating and monitors policies, procedures, and standards relating to database management
Responding to production defects and relays information back to the Operations Manager to communicate to clients
Contributing in all phases of the data and software development lifecycle when needed
Creating and maintaining code through GitHub repository for change control
Supporting off hours data processing and emergency requests as needed

You might be a good fit if you have:
Bachelor's degree (B. A. / B. S.) from four-year college or university; and two to four years related experience and/or training; or equivalent combination of education and experience.
5+ years of experience with SQL, database design, optimization, and tuning
5+ years of experience with Postgresql
4+ years of experience using Github
4+ years of experience in Shell Scripting and one other object oriented language such as Python, or PhP.
3+ years of experience in continuous integration and development methodologies tools such as Jenkins
5+ years of experience in an Agile development environment
Time management skills
Programming skills particularly SQL, Shell Scripting, and Python",3.4,"Sapphire Digital
3.4","Lyndhurst, NJ","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Zocdoc, Healthgrades",0,0,64,71,67.5,"Sapphire Digital
", NJ,1,1,1,0,0
$75K-$88K (Glassdoor est.),"The Senior Financial Analyst will provide support to Director of Financial Planning and Reporting by developing new financial reports, improving manual processes, and providing budgeting, forecasting, analysis, and reporting to the business. The right person for this role has excellent analytical abilities, has a demonstrated ability to apply analytics to solve business problems and identify opportunities, and has a strong understanding of overall business strategy, manufacturing operations and KPI development.
Improve/develop financial reporting tools, dashboards, and techniques to provide meaningful and valuable intelligence to the business
Lead efforts to automate manual processes to improve accuracy and efficiency of financial reporting
Maintain current knowledge of emerging technologies and make recommendations as appropriate
Assist in preparation and tracking of annual budgets and forecasts to ensure efficient cost controls across corporate headquarters and plant locations
Conduct detailed analysis of revenue, product margins, expenses and overhead.
Internal Reporting of financial data and key business metrics
Assist with monthly closing responsibilities and reporting
Ad-hoc business analysis, including cost and manufacturing scenarios
Ability to partner with and communicate results to all levels of the organization is a critical success factor.
Development of supporting analytical tools and reports
Exercising critical thinking and judgment to effectively develop reporting to be used in influencing management to improve operational execution and performance
Education
Bachelor’s degree in Finance, Accounting, Data Science/Analytics
Master’s degree in Business Administration, Accounting (Financial Analysis), or Business Analytics (preferable, but not required)
Experience
3 - 5 years’ work experience in financial planning/analysis role with manufacturing background
Strong Microsoft office skills (especially in Excel); MOS certification preferred
Experience with Oracle, Hyperion Smart View and Essbase preferred
Strong financial analysis skills (P&L, Cash Flow, Balance Sheet, Cost Accounting)
Working experience building financial models and dashboards with Power BI (Tableau)
Ability to creatively and independently analyze data and propose solutions.
Key Skills
Vibrant, positive, can-do attitude, with a demonstrated ability to apply problem solving skills
Excellent communication and inter-personal skills with ability to explain analytical findings clearly and to wide range of internal customers
Demonstrate ability to work independently as well as in cross-functional teams
Ability to multi-task and consistently meet deadlines
Solid attention to detail and analytical capability
Strong time and priority management skills

This poisition is located in our new Sunbrella Headquarters in Burlington, NC.

It is the policy of Glen Raven, Inc. to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Glen Raven, Inc. will provide reasonable accommodations for qualified individuals with disabilities.

Glen Raven, Inc. posts this statement to inform applicants and employees of Glen Raven’s commitment to equal opportunity in employment.",3.8,"Glen Raven
3.8","Glen Raven, NC","Burlington, NC",1001 to 5000 employees,1999,Company - Private,Industrial Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1,0,0,75,88,81.5,"Glen Raven
", NC,0,21,0,0,0
$105K-$130K (Glassdoor est.),"About us

National Grid is hiring a Lead Data Scientst for our Data Science department in Waltham, MA.

Every day we deliver safe and secure energy to homes, communities, and businesses. We are there when people need us the most. We connect people to the energy they need for the lives they live. The pace of change in society and our industry is accelerating and our expertise and track record puts us in an unparalleled position to shape the sustainable future of our industry.

To be successful we must anticipate the needs of our customers, reducing the cost of energy delivery today and pioneering the flexible energy systems of tomorrow. This requires us to deliver on our promises and always look for new opportunities to grow, both ourselves and our business.
Job Purpose

As a Lead Data Scientist at National Grid, you will define and build models, mine big and small data to better understand customers and their energy habits, and develop maintainable solutions, all of which would make you the catalyst of process reengineering through advanced analytics. You will work in a dynamic organization to turn data into actionable intelligence. The variety and complexity of challenges you will solve is second to none, but most important is the real world impact your work will have on the lives of millions of people.

As a member of the National Grid Data Science team, you will provide insights and conclusions from multiple sources of information in a variety of different formats using analysis techniques that range from simple to advanced. You would work cross-functionally and on Agile teams, and you would be applying your broad knowledge of:
Statistical & Probabilistic Analyses
Data Engineering
Programming/Software Development
Effective Visualization and Presentation
Key Accountabilities

Lead major projects from conception to completion, working with multiple teams of stakeholders directly to understand and address their analytic needs
Identify, extract, and integrate data sets ranging in size from spreadsheets to big data; prepare and clean data for use in advanced analysis
Employ sophisticated analytics programs, machine learning, and statistical methods for predictive and prescriptive modeling, forecasting, and simulations
Develop structured, documented, version controlled code that enables automation and post-roll out customer self-service
Mentor junior Data Scientists
Contribute toward the strategic vision for shaping the Data Science team of tomorrow
Qualifications

7+ years of experience in business environment as a data scientist / business analyst / quantitative analyst or a Bachelors degree
Experience leading projects
Demonstrated ability to communicate and interact with business stakeholders
Demonstrated ability to translate technical knowledge into business terms
Fluency in:
Machine learning tools and techniques
Python object oriented programming / development
SQL
Be intellectually curious and enjoy learning
More Information

National Grid is an equal opportunity employer that values a broad diversity of talent, knowledge, experience and expertise. We foster a culture of inclusion that drives employee engagement to deliver superior performance to the communities we serve. National Grid is proud to be an affirmative action employer. We encourage minorities, women, individuals with disabilities and protected veterans to join the National Grid team.",3.4,"National Grid USA
3.4","Waltham, MA","Waltham, MA",10000+ employees,1990,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$5 to $10 billion (USD),Northeast Utilities,0,0,105,130,117.5,"National Grid USA
", MA,1,30,1,0,0
$111K-$133K (Glassdoor est.),"Company Overview
Pattern Energy Group is an independent, fully integrated energy company that develops, constructs, owns and operates renewable energy projects and transmission assets across North America and parts of Latin America. The company focuses primarily on wind and transmission, with limited investments in other generation technologies.
The Pattern Energy team has a history as one of the top North American renewable energy and transmission providers in the industry. The team is dedicated to delivering the highest value for its customers, partners, financial supporters and the communities in which it works, while exhibiting a strong commitment to promoting environmental stewardship and corporate responsibility.
Pattern Energy Group operates in the United States and Canada, with offices in San Francisco, Houston, San Diego, New York and Toronto. Pattern Energy’s corporate headquarters are in San Francisco.

Job Purpose
Pattern Energy is excited to hire our summer 2020 Interns! Pattern’s Summer Internship Program gives undergraduate and graduate students hands-on experience to develop technical skills, as well as a better understanding of the renewable industry. This internship program will run for approximately 10-12 weeks and include a formal welcome, mentorship opportunities, and executive exposure. This is one way that Pattern Energy supports the larger renewable community and invests in the next generation of great minds.
Key Responsibilities
Work with Pattern’s Data Science team in a variety of areas, including but not limited to contributing to team initiatives and running independent projects. The objective of the Data Science team is to improve operational performance by transforming large datasets, using analytics to find insights, and developing BI tools for operational KPI’s and reporting. The Data Science Intern will be assigned projects based on their interests, abilities and company priorities at the time.
There are many ongoing projects that can require assistance and will provide outstanding learning opportunities. Potential projects will likely involve analyzing operational performance through Azure cloud-based data sets or API connections, leveraging such coding and scripting languages as Python, DAX, MDX, and/or SQL and presenting findings through Microsoft tools such as Power BI. This will be a summer internship program.
Assist Pattern Data Scientists in data engineering tasks such as API scripting, data transformation, data quality monitoring, data cleansing, etc.
Collaborate with cross departmental teams on performance analytics and develop algorithms to monitor and flag underperforming operational equipment.
Connect data sets to visualization tools, develop interactive dashboards/reports, and train users on how to interpret and navigate content within Power BI.
Completion of a formal internship presentation.
Other projects as assigned.

Experience/Qualifications/Education Required
Working towards a Bachelor's or Master’s degree of Science in a technical degree Engineering, Science or related area having completed 3 years of course work in those areas.
Passion for renewable energy to contribute to Pattern transition the world to renewable energy.
Excellent verbal and written communication skills with an ability to express ideas effectively through data or presentation.
Ability to work in a collaborative environment where teamwork and independent work ethic are essential.
Ability to synthesize and organize large amounts of data.
Ability to organize time well and set proper priorities.
Comfortable working with all Microsoft Office applications. Specific to MS Excel and MS PowerPoint.
Working knowledge of Python, SQL, DAX, and/or MDX.
Familiar with visualization tools such as Power BI
This position will commence in late May/early June through August 2020.
Pattern Energy Group is an equal opportunity employer.",3.8,"Pattern Energy Group
3.8","Houston, TX","San Francisco, CA",201 to 500 employees,2009,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$100 to $500 million (USD),-1,0,0,111,133,122.0,"Pattern Energy Group
", TX,0,11,1,0,0
$54K-$79K (Glassdoor est.),"We have an exciting opportunity forYOU to joinUS, as ourE- Commerce Data Analyst.

This position will be based in New Orleans, Louisiana.

Job Description:

Reporting to the Manager of UIX& Optimization, this collaborative role will place you in an agile
cross-functional team whose goal is to innovate and optimize our partners’ digital solutions.

In this role, you will be responsible for creating data visualizations, implementing best practices
for analytics, architecting database solutions, and offering strategic insights based on your data queries.

What willYOUdo?

As the Data Analyst, you will:
Collect, organize, analyze and present data from diverse sources
Create dashboards to serve both internal and external stakeholder needs
Implement Analytics on digital solutions
Create datasets via tools&/or custom coding
Collaborate with Product and UIX teams to improve existing solutions, support roadmap initiatives, and create new potential features
Maintain current data initiatives and improve present-day structures
Document existing and future data structures
What will YOU bring to the role?
Bachelor's degree in Computer Science, Analytics, Information Systems or a related field
3-5 years of experience
Experience with SQL, data modeling and mining, compiling of data from multiple sources
Advanced Excel skills
Experience with BI Reporting Tools& Dashboards required, DOMO preferred
Experience with Analytics tools required, Adobe Analytics& Target preferred
E-commerce experience preferred
Salesforce Marketing Cloud experience a plus
WHY iSeatz IS A GREAT CHOICE FOR YOU:

iSeatz is a well-established, innovative and high growth company in New Orleans, providing one of the most powerful booking engines for ancillary travel products in the market to some of the world’s most iconic brands. The award-winning iSeatz “OneView” platform meets brands’ exact requirements for delivering a highly personalized and engaging commerce experience that drives conversions, customer satisfaction and advocacy.

-Voted one of New Orleans City Business Best Places to Work for eight of the last nine years

-Our company culture reflects the value of a strong and talented team, the importance of giving back, and the balance of having fun along the way

-Energetic company where you will have the opportunity to stand out, shine and build your career

-Huge emphasis on supporting our team in order to allow for top notch contributions

-Competitive salaries, a comprehensive suite of benefits and fun perks including acasual dress code, flexible working arrangements and a dog-friendly office

If you’re looking for an excellent workplace where hard work and fun go hand in hand and respect for team members is our core value, iSeatz is the RIGHT place for you!",3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,54,79,66.5,"iSeatz
", LA,1,21,0,0,0
$146K-$146K (Glassdoor est.),"Position Title: Senior Data Engineer

Position Description / Responsibilities:

Tapjoy is seeking a Senior Engineer in our Data Science group who will work closely with Data Scientists, Data Platform, and Ad Server Engineering teams to help productionalize, scale, and support Tapjoy's Optimization platform. We are looking for someone who has had experience working with vast amounts of data, scaling systems, and, supporting low-latency applications.
Essential duties and responsibilities may include, but are not limited to:
Design and build scalable, personalized ad-serving algorithm REST service API with Data Scientists Design and create a robust service that serves a high volume of requests
Implement generalized a/b test frameworks to support multivariate testing covering component change/user segmentation and bucketing / metadata driven auto experiment set up, etc.
Competencies:
You possess strong computer science fundamentals, including knowledge of data structures, algorithms, and object-oriented design
You have strong SQL understanding and some data analysis experience.
You have experience with or interest in Java, and interfacing with REST APIs Is self-directed and self-driven Is results-oriented with a high emphasis on ""on-time"" delivery of projects and features
Values collaboration with various teams and stakeholders highly
Communicates often and well about potential roadblocks and tradeoffs between performance and complexity
Requirements:
B.S. or M.S. in Computer Science
3+ years of Software Engineering experience (preferably with Java)
Strong knowledge of data structures, SQL, software design patterns and algorithms (i.e., indexing, hash tables, joins, aggregation)
Knowledge of low-latency, high-throughput services
Strongly prefer someone who has had experience with big data platforms and challenges that come with large scale platforms.
Prefer someone who understands general machine learning and data mining concepts
Experience with advertising industry is a big plus
Tapjoy is a leading mobile advertising and app monetization company. Our platform empowers advertisers to connect with over 975 million monthly active users through value exchange advertising that drives awareness, engagement and the metrics that matter most to their overall growth. Meanwhile, companies such as Scopely, Crowdstar, Topps and many of the Top 200 grossing app publishers trust our platform to monetize their content, grow their audiences and reward their users. Founded in 2007 and headquartered in San Francisco, Tapjoy is a global organization with more than a dozen offices worldwide.

Tapjoy is an equal opportunity employer. We believe that diversity and inclusion lead to stronger, more innovative teams and better business results; we want to draw from the broadest talent pool possible and encourage qualified applicants. Tapjoy does not discriminate on the basis of sex, race, ethnicity, color, age, sexual orientation, gender (including identity and expression), disability (mental or physical), religion, national origin, citizenship, marital status, military or veteran status, or any other protected classification protected by applicable law; we will provide reasonable accommodations for qualified individuals with disabilities, and pursuant to applicable fair chance ordinances, we will consider for employment qualified applicants with arrest and conviction records.

For more information, please visit www.tapjoy.com.

]]>",3.9,"Tapjoy
3.9","San Francisco, CA","San Francisco, CA",201 to 500 employees,2007,Company - Private,Internet,Information Technology,$10 to $25 million (USD),"FLURRY, Chartboost",0,0,146,146,146.0,"Tapjoy
", CA,1,13,0,0,0
$56K-$77K (Glassdoor est.),"For more than 80 years, Citadel has steadily grown and offered stability to our customers, community, and employees. Today, Citadel provides banking, investments, and insurance services to more than 200,000 customers. As we continue to expand, we remain committed to providing the very best value to our customers. At over $3 billion in assets, we are one of the Greater Philadelphia area’s largest locally owned financial institutions, proudly serving residents of Bucks, Chester, Delaware, Lancaster, Montgomery, and Philadelphia counties. In 2018, Citadel was ranked number one among all credit unions in Pennsylvania for providing value to our customers by Callahan& Associates, and was named one of the best performing credit unions in the nation by SNL Financial. To learn more, visitCitadelBanking.com.

We are building out Citadel's Data& Analytics capabilities and we are seeking three Marketing Data Analysts. These individuals will report to the Sr. Research& Data Analyst. The roles will be based in the Marketing department located at our corporate headquarters in Exton, PA.

The Marketing Analyst is responsible for identifying and analyzing data regarding our customers and prospective customers, making recommendations and providing insight to Citadel leadership in critical decision-making that drives Citadel Class Service and our business objectives including growth and sales. The Analyst will be responsible for designing and delivering the Use Cases to support the development of Citadel’s next generation Data& Analytics platform. Each Use Case is designed to support the business and deliver an improved customer and/or employee experience and will include the requirements, data definition, report and dashboard design, and end user rollout.

Duties and Responsibilities
Collaborate with Marketing, Sales, Product teams and other Citadel business leaders to determine and prioritize needs for customer data.
Develop Use Cases– partner with the business to capture and document Business Requirements, Business Definitions, Data Definitions, Visual Requirements, and Test Scripts.
Apply various analytic methods to discover and interpret information about customer and prospective customer behavior from multiple data sources, including Citadel’s website, social media, customer account data, data from external partners, and other sources
Integrate data across sources
Collaborate with IT to develop or adopt relational databases
Create actionable insights based on customer data, both proactively and in response to requests
Recommend target segments and campaigns/offers
Maintain necessary processes, controls and procedures to ensure data accuracy and business functionality and comply with privacy and security policies and regulations.
Lead and participate in cross-functional teams for corporate sales, marketing, customer service, and product development
Perform regular analysis and reports for distribution to senior management on customer/prospective customer data and trends.
Develop analytical reports to various departments requesting insight, supportive data or status reports to support corporate initiatives
Qualifications and Education Requirements

Required Work Experience -3+ years related data management and analysis experience, including experience in consumer behavior data mining and analysis

Preferred Work Experience -Retail banking or other financial services experience. Experience with marketing, sales, or customer service, including digital and traditional

Education - Bachelors degree required

Technical Knowledge Required -Proficiency in specialized database software.Writing SQL queries to solve business problems.Proficiency creating reports and dashboards in a modern data visualization tool (Tableau, PowerBI, Qlik).Proficiency in Microsoft Office suite.

PreferredTechnical Knowledge -CRM experience,Python or R, experience with database documentation (Data Dictionaries and Entity Relationship Diagrams)",3.9,"Citadel Federal Credit Union
3.9","Exton, PA","Exton, PA",501 to 1000 employees,1937,Nonprofit Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,"TruMark Financial, North Island Credit Union, CommunityAmerica Credit Union",0,0,56,77,66.5,"Citadel Federal Credit Union
", PA,1,83,1,0,0
$97K-$120K (Glassdoor est.),"At Northrop Grumman we develop cutting-edge technology that preserves freedom and advances human discovery. Our pioneering and inventive spirit has enabled us to be at the forefront of many technological advancements in our nation's history - from the first flight across the Atlantic Ocean, to stealth bombers, to landing on the moon. We continue to innovate with developments from launching the first commercial flight to space, to discovering the early beginnings of the universe. Our employees are not only part of history, they're making history.

The Engineering & Sciences (E&S) organization pushes the boundaries of innovation, redefines engineering capabilities, and drives advances in various sciences. Our team is chartered with providing the skills, innovative technologies to develop, design, produce and sustain optimized product lines across the sector while providing a decisive advantage to the warfighter. Come be a part of our mission!

The Data/Systems Engineer plays a dual role of analyzing and modeling data, as well as managing and developing systems. The candidate applying for this position should be able to work across disciplines and organizations; identifying requirements, implementing good data governance principles, and producing logical data models. The qualified applicant will be expected to work directly with internal customers to develop strategies to meet their specific needs, while at the same time developing a common core approach to extend solutions to other disciplines and organizations.

Responsibilities:
Support the Infrastructure team's mission of continuous improvement through data driven processes and tools. Work with customers to define requirements for systems and metrics Perform Data Analysis of data vaults to find commonality and develop logical models Convert requirements into actions and models Identify critical problems and the steps required to resolve them Provide cost and data analysis and guidance to high level requirements for project teams

Qualifications:

Basic Qualifications:
Bachelor's in Statistics, Engineering or related field and a minimum of 2 years of related experience
Experience in Data management, Data Engineering, or Data Science Experience with R or similar statistical languages
1-2 years of experience using SQL to query databases (Oracle, SQL Server)
Preferred Qualifications:
1-2 years of experience with web development: HTML, CSS and JavaScript
Background in development and production of electronic and RF components, or a degree in a related field
Experience with Business Objects, Tableau, or other charting tools
Experience with shop floor systems
Experience with the Software Development lifecycle, and both Agile and Waterfall projects
Experience with electrical and mechanical data management systems
Data analytics and visualization, statistics
Database query experience
Experience with Excel Macros
What We Can Offer You:

Northrop Grumman provides a comprehensive benefits package and a work environment that encourages your growth and supports the mutual success of our people and our company. Northrop Grumman benefits give you the flexibility and control to choose the benefits that make the most sense for you and your family. Your benefits will include the following:

Health Plan

Savings Plan

Paid Time Off

Education Assistance

Training and Development

Flexible Work Arrangements

https://benefits.northropgrumman.com/us/en2/BenefitsOverview/Pages/default.aspx

Additional Northrop Grumman Information:

Northrop Grumman has approximately 85,000 employees in all 50 states and in more than 25 countries, we strive to attract and retain the best employees by providing an inclusive work environment wherein employees are receptive to diverse ideas, perspectives and talents to help solve our toughest customer challenges: to develop and maintain some of the most technically sophisticated products, programs and services in the world.

Northrop Grumman is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class. For our complete EEO/AA and Pay Transparency statement, please visit www.northropgrumman.com/EEO. U.S. Citizenship is required for most positions.",3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,97,120,108.5,"Northrop Grumman
", CA,0,81,0,0,0
$86K-$127K (Glassdoor est.),"If you share our values, you should have:

At least 2 years experience with Go

Proven experience (2 years) building and maintaining data-intensive APIs using a RESTful approach

Experience with stream processing using Apache Kafka

A level of comfort with Unit Testing and Test Driven Development methodologies

Familiarity with creating and maintaining containerized application deployments with a platform like Docker

A proven ability to build and maintain cloud based infrastructure on a major cloud provider like AWS, Azure or Google Cloud Platform

Experience data modeling for large scale databases, either relational or NoSQL

Bonus points for:

Experience with protocol buffers and gRPC

Experience with: Google Cloud Platform, Apache Beam and or Google Cloud Dataflow, Google Kubernetes Engine or Kubernetes

Experience working with scientific datasets, or a background in the application of quantitative science to business problems

Bioinformatics experience, especially large scale storage and data mining of variant data, variant annotation, and genotype to phenotype correlation",4.5,"Envision LLC
4.5","Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1,0,0,86,127,106.5,"Envision LLC
", MO,1,26,0,0,0
$59K-$97K (Glassdoor est.),"CyrusOne is seeking a talented Data Scientist who holds a range of data-focused skills both in technical and analytical domains. The ideal candidate is adept at processing, cleansing, and verifying the integrity of data used for visualization and analysis. This role is dynamic, granting the candidate the opportunity to participate in a wide variety of projects and collaborate with many cross-functional teams throughout the business.

Duties and Responsibilities:
Participate in an agile scrum cadence
Process, cleanse, and verify the integrity of data used for analysis
Perform functional business requirements analysis and data analysis
Develop data models and algorithms to apply to data sets
Augment data collection procedures to include necessary information for building accurate analytics
Collaborate with stakeholders throughout the organization to identify opportunities for leveraging data to drive business solutions
Evaluate the effectiveness and accuracy of data sources and data gathering techniques
Gather critical information from meetings with various stakeholders and produce useful reports
Coordinate with cross-functional teams to implement models and monitor outcomes
Develop automated discrepancy detection systems and distribute reconciliation reports to stakeholders
Requirements:
Must be legally authorized to work in the United States for any employer without sponsorship
Professional experience using statistical software languages like R, Python, and SQL to query, manipulate, and draw insights from data sets
Strong problem-solving skills with an emphasis on product development
Extensive experience with Microsoft SQL, MySQL and MongoDB
Understanding of version control (git) and project management with Azure DevOps
Knowledge of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.)
Experience visualizing data for stakeholders using visualization tools such as Power BI
Experience working with and creating data architectures
Understanding and adherence to agile principles and practices
Ability to work on problems of any scope where the analysis of situations or data requires a review of a variety of factors
Self-maintainability and reliability with minimal supervision
Excellent interpersonal communication, decision making, presentation, and organizational skills
Ability to build productive internal/external working relationships
Harmonious with CyrusOne culture, core values, and business goals
Minimum Qualifications:
2+ years of related experience in a data analyst role
Strong can-do attitude in a time sensitive environment
Other important information about this position:
This position requires typical weekday (Monday - Friday) attendance in an office setting, at times after hours work may be required to meet business and customer needs
Every position requires certain physical capabilities. CyrusOne seeks to make reasonable accommodations that enable individuals with disabilities to perform essential duties when possible
CyrusOne is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, sexual orientation, gender identity, religion, national origin, disability, veteran status, or other legally protected status.

CyrusOne provides reasonable accommodation for qualified individuals with disabilities in accordance with the Americans with Disabilities Act (ADA) and any other state or local laws. We will respond to requests for reasonable accommodations to assist you in applying for positions at CyrusOne, or to submit a resume. If you need to request an accommodation, please contact our Human Resources at 214.488.1365 (Option 7) or by email at HR@cyrusone.com.",3.4,"CyrusOne
3.4","Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,59,97,78.0,"CyrusOne
", TX,1,20,1,0,0
